id,title,published_at,source_name,category,civil_engineering_area,ai_technique,application_stage,keywords,summary
3349a89310cc6a6575a2a9c9c242d8b5,"ICYMI: watch a predictive rail maintenance robot in action",2022-09-05T10:00:00Z,"Construction Management - Technology",Maintenance,Transportation,"Predictive Analytics",Maintenance,"[""rail maintenance"", ""robotics"", ""predictive maintenance""]","The article describes a robot used for predictive rail maintenance. This suggests the robot uses AI/ML for predicting maintenance needs."
71ab0c6c802ad88b037de171b56ad150,"Drones go underground for Scottish Water",1969-12-31T23:00:00Z,"Construction Management - Technology",Monitoring,Surveying,"Computer Vision",Maintenance,"[""LiDAR"", ""drones"", ""sewer"", ""Scottish Water"", ""underground""]","Scottish Water is utilizing LiDAR-equipped drones to survey their sewer network. The data collected likely requires computer vision to create 3D models or analyze the structural integrity of the sewers."
f69762694da6955fb7200b52246debde,"Space Agency-backed project aims to use satellite data to protect utilities",1969-12-31T23:00:00Z,"Construction Management - Technology",Monitoring,"Construction Management","Machine Learning",Planning,"[""satellite data"", ""risk detection"", ""utilities"", ""geospatial technology"", ""construction"", ""building development""]","This project, backed by a space agency, leverages satellite data to identify potential risks to utility infrastructure arising from new construction projects. MGISS and northern utility providers are collaborating to implement this geospatial technology-based monitoring system."
b7a5d172d7909716e5685bf741435bbd,"AI and digital tools can empower civil engineers, not replace them - New Civil Engineer",2025-12-23T12:25:43Z,"Google News - Civil Engineering AI",General,General,Other,Multiple,"[""AI"", ""digital tools"", ""civil engineering"", ""empowerment"", ""automation""]","The article discusses the potential of AI and digital tools to augment the capabilities of civil engineers rather than substitute them. It suggests that technology can enhance efficiency and productivity across various stages of civil engineering projects."
c555e465cba337e672c51fda18a79393,"Howard University Civil Engineering Research Team Uses AI to Help Address Climate Change Crises - The Dig at Howard University",2025-12-16T22:31:20Z,"Google News - Civil Engineering AI",Other,General,"Machine Learning",Multiple,"[""climate change"", ""civil engineering"", ""artificial intelligence""]","The Howard University Civil Engineering Research Team is using AI to address climate change crises. While the specific application is not detailed in the title, the connection between AI and civil engineering in the context of climate change implies a relevant application of AI/ML."
4a12941ae730bc16e7f754b3b284509f,"Artificial intelligence in civil engineering: emerging applications and opportunities - Frontiers",2025-06-23T07:00:00Z,"Google News - Civil Engineering AI",Multiple,General,Multiple,Multiple,"[""Artificial Intelligence"", ""Civil Engineering"", ""Emerging Applications""]","The article discusses the emerging applications and opportunities of artificial intelligence in civil engineering. It likely covers various AI techniques and their applications across different stages of civil engineering projects."
d063bab75e5d4ebc9a3568bc8a49bfe7,"AI agents for civil engineers - AEC Magazine",2025-04-16T07:00:00Z,"Google News - Civil Engineering AI",Other,General,"AI Agents",Multiple,"[""AI Agents"", ""Civil Engineering"", ""AEC"", ""Automation""]","The article discusses the use of AI agents in the Civil Engineering field. It likely covers the potential for automating tasks and improving efficiency within the Architecture, Engineering, and Construction (AEC) industry."
41dee385e8ff7111c97bcd1636377b5d,"AI Chatbot Performance in Civil Engineering Exams Analyzed - Bioengineer.org",2025-12-14T00:02:23Z,"Google News - Civil Engineering AI",Other,General,NLP,Multiple,"[""AI Chatbot"", ""Civil Engineering Exams"", ""Exam Performance"", ""NLP""]","The article analyzes the performance of AI chatbots in civil engineering exams. This suggests the use of AI, specifically NLP based chatbots, to potentially assist with civil engineering education or problem-solving."
f94967055b2602db4c5b707b8fcf0d2e,"News - RDW 2025: AI Tools Helping CE Teams Work Smarter, Not Harder - DVIDS",2025-06-25T07:00:00Z,"Google News - Civil Engineering AI",Other,General,"Machine Learning",Multiple,"[""AI tools"", ""Civil Engineering"", ""RDW 2025""]","The article discusses the use of AI tools to help Civil Engineering (CE) teams work more efficiently. It highlights the potential of AI to improve various aspects of CE work."
0731d3d0d32b73668a659af9724007f3,"Civil and environmental engineering assistant professor to use AI and satellite data to predict ground movement - Auburn University",2025-10-14T07:00:00Z,"Google News - Civil Engineering AI",Monitoring,Geotechnical,"Machine Learning",Multiple,"[""ground movement"", ""AI"", ""satellite data"", ""prediction"", ""geotechnical engineering""]","An Auburn University civil and environmental engineering professor will be using AI and satellite data to predict ground movement. This project utilizes machine learning techniques for geotechnical monitoring."
8d1c59330dd4e73769fde977e60fe0bf,"Dynamic Infrastructure Launches New Version of Its Virtual Assistant Engineer, Extending Its Lead in O&M AI for Civil Infrastructure Assets - PR Newswire",2025-11-11T08:00:00Z,"Google News - Civil Engineering AI",Maintenance,Structural,AI,Operation/Maintenance,"[""Virtual Assistant Engineer"", ""O&M"", ""Civil Infrastructure Assets"", ""AI"", ""Dynamic Infrastructure""]","The article discusses Dynamic Infrastructure launching a new version of its 'Virtual Assistant Engineer', which leverages AI for Operations and Maintenance (O&M) of civil infrastructure assets. This suggests AI is being used to aid in the maintenance of structures."
dd59301093e8d403beefb3b5f494bf67,"CTS Webinar: Preparing Transportation Professionals for AI Integration - Crossroads - A Minnesota Transportation Research Blog",2025-12-05T08:00:00Z,"Google News - Civil Engineering AI",Other,Transportation,Other,Multiple,"[""AI Integration"", ""Transportation Professionals"", ""Training"", ""Minnesota"", ""Webinar""]","This article is about a CTS (Center for Transportation Studies) webinar focused on preparing transportation professionals for the integration of AI into their work. It highlights the importance of training and education in the field of AI within transportation."
