id,title,published_at,source_name,source_type,url,full_text,author,section,language,retrieved_at,data_source
3ac114cc211347fd8a4df85042710a31,Construction’s top 10 news stories of 2025,2025-12-19T09:07:16Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/constructions-top-10-news-stories-of-2025,"It has been another busy year for the industry, from building safety updates to the appointment of CIOB’s new CEO. Below are the 10 most popular news stories published by CM this year. The post Construction’s top 10 news stories of 2025 appeared first on Construction Management.",CM Staff,News,en,2025-12-25T18:32:00.541125Z,news
da362316e2a0702fcc5fcfaa9cf2f244,Bid rigging: CMA offers lessons for construction from cartel prosecutions,2025-12-18T11:23:15Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/bid-rigging-cma-competition-markets-authority-construction-demolition-cartel-prosecutions,The competition watchdog has posted some lessons from its successful £60m prosecution of 10 construction firms for cartel activity The post Bid rigging: CMA offers lessons for construction from cartel prosecutions appeared first on Construction Management.,Will Mann,News,en,2025-12-25T18:32:00.541252Z,news
a592b77b183eb8273086e930d23a98ef,Conlon Construction appoints new boss,2025-12-18T10:30:31Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/conlon-construction-appoints-new-boss,Conlon Construction has announced that chair Michael Conlon MCIOB will retire after more than 38 years at the Preston-based firm. The post Conlon Construction appoints new boss appeared first on Construction Management.,Nadine Buddoo,News,en,2025-12-25T18:32:00.541340Z,news
cac1e8ed8495e9898137925d2ee32d03,Proposed safety reforms signal move to single construction regulator,2025-12-18T09:55:28Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/proposed-building-safety-reforms-revealed,"The government has confirmed it will introduce primary legislation to regulate the fire engineering profession, aimed at strengthening public safety and raising professional accountability. The post Proposed safety reforms signal move to single construction regulator appeared first on Construction Management.",Nadine Buddoo,News,en,2025-12-25T18:32:00.541421Z,news
8a4d984ef8b0612b84b9c001b5345425,In pictures | The best images from December,2025-12-18T08:30:00Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/in-pictures-the-best-images-from-december-2,A round-up of the most impressive construction pictures from the past month. The post In pictures | The best images from December appeared first on Construction Management.,CM Staff,News,en,2025-12-25T18:32:00.541495Z,news
ed678ef9e179b599aa6a7133cc8590b0,McAleer & Rushe breaks ground on Greenwich housing project,2025-12-16T09:44:10Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/mcaleer-rushe-breaks-ground-on-greenwich-housing-project,McAleer &#038; Rushe has been appointed by property developer Knight Dragon to deliver 300 new homes in London’s Greenwich Peninsula. The post McAleer &amp; Rushe breaks ground on Greenwich housing project appeared first on Construction Management.,Nadine Buddoo,News,en,2025-12-25T18:32:00.541568Z,news
1790e3276417d0016ff5dd73426ad267,Graham secures five-year RBKC contract,2025-12-16T09:35:51Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/graham-secures-five-year-rbkc-contract,Graham has won a hard facilities management contract with the Royal Borough of Kensington and Chelsea (RBKC). The post Graham secures five-year RBKC contract appeared first on Construction Management.,Nadine Buddoo,News,en,2025-12-25T18:32:00.541635Z,news
796ec1b97f0b5c0e0a0e87cf74a9ddc0,"Apprenticeships key to delivering government housing pledges, says APPG chair",2025-12-16T08:00:00Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/apprenticeships-housing-1-5-million-homes-construction,"Andrew Pakes MP, co-chair of the Apprenticeships APPG, was speaking at a CIOB Houses of Parliament event The post Apprenticeships key to delivering government housing pledges, says APPG chair appeared first on Construction Management.",Will Mann,News,en,2025-12-25T18:32:00.541705Z,news
3daa402007da8190b5b25af2122ac80f,Government urged to rethink biodiversity net gain exemptions,2025-12-15T15:09:33Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/government-urged-to-rethink-biodiversity-net-gain-exemptions,Construction and built environment leaders have warned that scrapping biodiversity net gain (BNG) requirements for small sites could undermine nature recovery and long-term value. The post Government urged to rethink biodiversity net gain exemptions appeared first on Construction Management.,Nadine Buddoo,News,en,2025-12-25T18:32:00.541772Z,news
2d3d9026760e0403110fff387e53666f,In pictures | Engineers scale iconic Liverpool tower,2025-12-11T10:15:44Z,Construction Management - All News,RSS,https://constructionmanagement.co.uk/in-pictures-engineers-scale-iconic-liverpool-tower,Engineers suspended at heights of nearly 140m have undertaken tests on the concrete and steel of St Johns Beacon using specialist rope access techniques. The post In pictures | Engineers scale iconic Liverpool tower appeared first on Construction Management.,Nadine Buddoo,News,en,2025-12-25T18:32:00.541840Z,news
